Ano,RA,Ano ingresso,Fase_num,Fase_label,Idade,Gênero,Instituição de ensino,Pedra,INDE,IAA,IEG,IPS,IPP,IDA,Mat,Por,Ing,IPV,IAN,Defasagem,Faixa_defasagem
2022,RA-1,2016,7,Fase 7,19,Feminino,Escola Pública,QUARTZO,5.783,8.3,4.1,5.6,8.174000000000001,4.0,2.7,3.5,6.0,7.278,5.0,-1,Moderada
2022,RA-2,2017,7,Fase 7,17,Feminino,Rede Decisão,AMETISTA,7.055,8.8,5.2,6.3,7.893999999999997,6.8,6.3,4.5,9.7,6.778,10.0,0,Em fase
2022,RA-3,2016,7,Fase 7,17,Feminino,Rede Decisão,AGATA,6.591,0.0,7.9,5.6,8.197999999999999,5.6,5.8,4.0,6.9,7.556,10.0,0,Em fase
2022,RA-4,2017,7,Fase 7,17,Masculino,Rede Decisão,QUARTZO,5.951,8.8,4.5,5.6,5.553999999999997,5.0,2.8,3.5,8.7,5.278,10.0,0,Em fase
2022,RA-5,2016,7,Fase 7,17,Feminino,Rede Decisão,AMETISTA,7.427,7.9,8.6,5.6,8.392,5.2,7.0,2.9,5.7,7.389,10.0,0,Em fase
2022,RA-6,2021,7,Fase 7,18,Feminino,Escola Pública,QUARTZO,5.848,7.9,4.5,7.5,8.035999999999994,3.3,2.3,5.3,2.3,7.222,5.0,-1,Moderada
2022,RA-7,2017,7,Fase 7,18,Masculino,Rede Decisão,AGATA,6.818,0.0,8.4,7.5,8.345999999999991,7.6,8.2,5.7,9.0,7.667,5.0,-1,Moderada
2022,RA-8,2018,7,Fase 7,20,Feminino,Escola Pública,QUARTZO,4.786,7.1,4.6,6.3,4.5039999999999925,1.6,1.2,0.7,2.9,6.278,5.0,-1,Moderada
2022,RA-9,2019,7,Fase 7,18,Feminino,Escola Pública,TOPAZIO,8.109,8.8,9.5,7.5,8.389999999999995,6.7,5.5,6.0,8.7,9.5,5.0,-1,Moderada
2022,RA-10,2021,7,Fase 7,18,Feminino,Escola Pública,QUARTZO,5.784,8.3,5.2,5.0,6.827999999999994,4.1,3.3,2.6,6.4,7.056,5.0,-1,Moderada
2022,RA-11,2016,7,Fase 7,18,Feminino,Escola Pública,QUARTZO,5.323,9.2,4.2,5.0,6.852,3.0,1.8,2.5,4.5,6.389,5.0,-1,Moderada
2022,RA-12,2020,7,Fase 7,17,Feminino,Escola Pública,QUARTZO,4.832,0.0,4.0,6.9,7.641999999999998,1.5,2.7,1.1,0.7,6.389,10.0,0,Em fase
2022,RA-13,2016,7,Fase 7,18,Masculino,Escola Pública,AGATA,6.902,7.9,7.4,7.5,8.308,4.7,3.5,5.5,5.2,8.056,5.0,-1,Moderada
2022,RA-14,2022,7,Fase 7,21,Masculino,Escola Pública,AGATA,6.793,7.9,8.3,7.5,7.430000000000003,4.0,8.0,0.0,,7.75,5.0,-1,Moderada
2022,RA-15,2022,7,Fase 7,18,Masculino,Escola Pública,AMETISTA,7.783,8.8,10.0,7.5,7.346000000000004,7.3,8.0,6.5,,7.292,5.0,-1,Moderada
2022,RA-16,2022,7,Fase 7,19,Masculino,Escola Pública,AGATA,6.112,7.9,8.3,5.0,6.9539999999999935,3.5,7.0,0.0,,6.333,5.0,-1,Moderada
2022,RA-17,2022,7,Fase 7,20,Masculino,Escola Pública,TOPAZIO,8.068,8.8,10.0,7.5,7.195999999999989,7.8,9.0,6.5,,8.292,5.0,-1,Moderada
2022,RA-18,2022,7,Fase 7,19,Masculino,Escola Pública,AMETISTA,7.226,6.3,8.7,6.3,5.510000000000002,9.0,9.0,9.0,,6.875,5.0,-1,Moderada
2022,RA-19,2022,7,Fase 7,19,Feminino,Escola Pública,AMETISTA,7.665,7.9,9.5,7.5,7.2499999999999964,8.0,7.0,9.0,,7.0,5.0,-1,Moderada
2022,RA-20,2022,7,Fase 7,19,Feminino,Escola Pública,AMETISTA,7.535,7.1,10.0,6.3,7.016,7.8,9.0,6.5,,7.167,5.0,-1,Moderada
2022,RA-21,2022,7,Fase 7,18,Masculino,Escola Pública,AGATA,6.945,9.6,9.2,7.5,6.850000000000005,3.8,7.0,0.5,,7.25,5.0,-1,Moderada
2022,RA-22,2019,6,Fase 6,17,Feminino,Rede Decisão,AMETISTA,7.474,8.3,7.4,8.1,7.4739999999999895,6.7,9.0,3.1,7.8,8.833,5.0,-1,Moderada
2022,RA-23,2021,6,Fase 6,17,Masculino,Escola Pública,AMETISTA,7.677,8.3,8.2,8.1,8.457999999999988,6.7,7.2,4.7,8.2,8.556,5.0,-1,Moderada
2022,RA-24,2021,6,Fase 6,17,Feminino,Rede Decisão,TOPAZIO,8.087,9.2,7.9,6.9,8.547999999999991,8.6,10.0,6.3,9.7,9.111,5.0,-1,Moderada
2022,RA-25,2021,6,Fase 6,17,Feminino,Escola Pública,AMETISTA,7.979,8.3,8.3,8.8,7.956000000000003,6.9,9.2,3.8,7.7,9.667,5.0,-1,Moderada
2022,RA-26,2022,6,Fase 6,17,Masculino,Escola Pública,TOPAZIO,8.677,9.6,8.8,10.0,8.569999999999993,8.0,9.5,4.4,10.0,10.0,5.0,-1,Moderada
2022,RA-27,2016,6,Fase 6,17,Masculino,Rede Decisão,AMETISTA,7.124,0.0,7.6,8.1,8.717999999999995,8.0,7.7,6.3,10.0,9.111,5.0,-1,Moderada
2022,RA-28,2019,6,Fase 6,17,Feminino,Escola Pública,AGATA,6.242,7.9,6.1,7.5,7.153999999999998,5.0,8.2,1.5,5.3,6.333,5.0,-1,Moderada
2022,RA-29,2022,6,Fase 6,17,Masculino,Escola Pública,QUARTZO,4.985,0.0,4.0,8.8,5.428000000000006,3.7,6.3,1.1,3.8,7.611,5.0,-1,Moderada
2022,RA-30,2021,6,Fase 6,16,Feminino,Escola Pública,AMETISTA,7.605,8.8,6.4,7.5,7.284000000000006,7.5,8.5,4.4,9.7,7.333,10.0,0,Em fase
2022,RA-31,2019,6,Fase 6,17,Feminino,Rede Decisão,TOPAZIO,8.843,10.0,9.5,9.4,9.029999999999996,8.0,9.0,5.7,9.3,10.0,5.0,-1,Moderada
2022,RA-32,2018,6,Fase 6,16,Feminino,Rede Decisão,AMETISTA,7.37,8.8,5.2,8.8,7.612000000000005,6.1,5.7,3.6,8.9,7.944,10.0,0,Em fase
2022,RA-33,2020,6,Fase 6,17,Feminino,Escola Pública,QUARTZO,4.952,0.0,4.6,7.5,6.219999999999999,4.8,9.0,1.6,3.7,6.0,5.0,-1,Moderada
2022,RA-34,2016,6,Fase 6,17,Masculino,Rede Decisão,AGATA,6.259,9.6,4.8,8.1,8.134000000000006,3.8,4.7,4.0,2.8,7.278,5.0,-1,Moderada
2022,RA-35,2019,6,Fase 6,17,Feminino,Rede Decisão,TOPAZIO,8.965,10.0,9.6,9.4,9.049999999999994,8.5,9.0,7.1,9.3,10.0,5.0,-1,Moderada
2022,RA-36,2019,6,Fase 6,17,Feminino,Rede Decisão,AMETISTA,7.876,9.2,9.0,6.9,8.171999999999997,6.8,8.5,4.3,7.8,8.944,5.0,-1,Moderada
